Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
afterReset,after,True,ADP,5
afterReset,Reset,True,VERB,5
afterReveal,after,True,ADP,5
afterReveal,Reveal,True,VERB,6
beforeReset,before,True,ADP,6
beforeReset,Reset,True,VERB,5
beforeReveal,before,True,ADP,6
beforeReveal,Reveal,True,VERB,6
clean,clean,True,VERB,5
destroy,destroy,True,VERB,7
reveal,reveal,True,VERB,6
sync,sync,True,NOUN,4
failure,failure,True,NOUN,7
success,success,True,NOUN,7
isObject,is,True,AUX,2
isObject,Object,True,VERB,6
each,each,True,PRON,4
logger,logger,True,VERB,6
struct,struct,False,NOUN,6
rinse,rinse,True,NOUN,5
getPrefixedCssProperty,get,True,VERB,3
getPrefixedCssProperty,Prefixed,True,VERB,8
getPrefixedCssProperty,Css,False,INTJ,3
getPrefixedCssProperty,Property,True,NOUN,8
clearCache,clear,True,ADJ,5
clearCache,Cache,True,PROPN,5
style,style,True,NOUN,5
applyStyle,apply,True,VERB,5
applyStyle,Style,True,NOUN,5
clean,clean,True,VERB,5
destroy,destroy,True,VERB,7
deepAssign,deep,True,ADV,4
deepAssign,Assign,True,VERB,6
isMobile,is,True,AUX,2
isMobile,Mobile,True,ADJ,6
initialize,initialize,True,NOUN,10
animate,animate,True,VERB,7
triggerReveal,trigger,True,NOUN,7
triggerReveal,Reveal,True,VERB,6
triggerReset,trigger,True,NOUN,7
triggerReset,Reset,True,VERB,5
registerCallbacks,register,True,VERB,8
registerCallbacks,Callbacks,True,NOUN,9
sequence,sequence,True,NOUN,8
Sequence,Sequence,True,NOUN,8
SequenceModel,Sequence,True,NOUN,8
SequenceModel,Model,True,PROPN,5
cue,cue,True,NOUN,3
reveal,reveal,True,VERB,6
getContainerId,get,True,VERB,3
getContainerId,Container,True,NOUN,9
getContainerId,Id,True,PROPN,2
sync,sync,True,NOUN,4
polyfill,pol,True,NOUN,3
polyfill,y,True,PROPN,1
polyfill,fill,True,VERB,4
getGeometry,get,True,VERB,3
getGeometry,Geometry,True,NOUN,8
getScrolled,get,True,VERB,3
getScrolled,Scrolled,True,VERB,8
isElementVisible,is,True,AUX,2
isElementVisible,Element,True,NOUN,7
isElementVisible,Visible,True,ADJ,7
delegate,delegate,True,NOUN,8
