Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
styleConfig,style,True,NOUN,5
styleConfig,Config,False,PROPN,6
customElement,custom,True,NOUN,6
customElement,Element,True,NOUN,7
getIframe,get,True,VERB,3
getIframe,Iframe,False,ADJ,6
getSearchEngineOpener,get,True,VERB,3
getSearchEngineOpener,Search,True,NOUN,6
getSearchEngineOpener,Engine,True,NOUN,6
getSearchEngineOpener,Opener,True,PROPN,6
showSetSearchEngine,show,True,VERB,4
showSetSearchEngine,Set,True,VERB,3
showSetSearchEngine,Search,True,NOUN,6
showSetSearchEngine,Engine,True,NOUN,6
closeSearchWindow,close,True,VERB,5
closeSearchWindow,Search,True,NOUN,6
closeSearchWindow,Window,True,NOUN,6
setSearchEngine,set,True,VERB,3
setSearchEngine,Search,True,NOUN,6
setSearchEngine,Engine,True,NOUN,6
setSearchEngineOpener,set,True,VERB,3
setSearchEngineOpener,Search,True,NOUN,6
setSearchEngineOpener,Engine,True,NOUN,6
setSearchEngineOpener,Opener,True,PROPN,6
setupConfig,setup,True,NOUN,5
setupConfig,Config,False,PROPN,6
showResetCurrentSearchEngineTab,show,True,VERB,4
showResetCurrentSearchEngineTab,Reset,True,VERB,5
showResetCurrentSearchEngineTab,Current,True,ADJ,7
showResetCurrentSearchEngineTab,Search,True,NOUN,6
showResetCurrentSearchEngineTab,Engine,True,NOUN,6
showResetCurrentSearchEngineTab,Tab,True,VERB,3
cleanOpener,clean,True,VERB,5
cleanOpener,Opener,True,PROPN,6
init,init,True,PROPN,4
onmousedown,onmouse,False,NOUN,7
onmousedown,down,True,ADV,4
onmousemove,onmouse,False,NOUN,7
onmousemove,move,True,VERB,4
onmouseup,onmouse,False,NOUN,7
onmouseup,up,True,ADV,2
onmouseup,onmouse,False,NOUN,7
onmouseup,up,True,ADV,2
ondragstart,on,True,ADP,2
ondragstart,drag,True,VERB,4
ondragstart,start,True,VERB,5
ondrag,on,True,ADP,2
ondrag,drag,True,VERB,4
ondragend,on,True,ADP,2
ondragend,drag,True,VERB,4
ondragend,end,True,NOUN,3
prettyBox,pretty,True,ADV,6
prettyBox,Box,True,NOUN,3
goToGoogleSearch,go,True,VERB,2
goToGoogleSearch,To,True,PART,2
goToGoogleSearch,Google,True,PROPN,6
goToGoogleSearch,Search,True,NOUN,6
goToYouDaoSearch,go,True,VERB,2
goToYouDaoSearch,To,True,PART,2
goToYouDaoSearch,You,True,PRON,3
goToYouDaoSearch,Dao,False,VERB,3
goToYouDaoSearch,Search,True,NOUN,6
goToBingDictSearch,go,True,VERB,2
goToBingDictSearch,To,True,PART,2
goToBingDictSearch,Bing,False,VERB,4
goToBingDictSearch,Dict,True,VERB,4
goToBingDictSearch,Search,True,NOUN,6
goToBingSearch,go,True,VERB,2
goToBingSearch,To,True,PART,2
goToBingSearch,Bing,False,VERB,4
goToBingSearch,Search,True,NOUN,6
hasClass,has,True,VERB,3
hasClass,Class,True,NOUN,5
addClass,add,True,VERB,3
addClass,Class,True,NOUN,5
removeClass,remove,True,VERB,6
removeClass,Class,True,NOUN,5
getCookie,get,True,VERB,3
getCookie,Cookie,True,PROPN,6
setCookie,set,True,VERB,3
setCookie,Cookie,True,PROPN,6
getCookies,get,True,VERB,3
getCookies,Cookies,True,NOUN,7
encodeBase64,encode,True,ADJ,6
encodeBase64,Base64,False,VERB,6
decodeBase64,decode,True,PROPN,6
decodeBase64,Base64,False,VERB,6
getParameterValue,get,True,VERB,3
getParameterValue,Parameter,True,NOUN,9
getParameterValue,Value,True,NOUN,5
createJSONFile,create,True,VERB,6
createJSONFile,JSON,False,NOUN,4
createJSONFile,File,True,VERB,4
sleep,sleep,True,NOUN,5
getMediaDevices,get,True,VERB,3
getMediaDevices,Media,True,NOUN,5
getMediaDevices,Devices,True,NOUN,7
