Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
pack,pack,True,VERB,4
exports,exports,True,NOUN,7
pack,pack,True,VERB,4
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
getClassesToInclude,get,True,VERB,3
getClassesToInclude,Classes,True,NOUN,7
getClassesToInclude,To,True,PART,2
getClassesToInclude,Include,True,VERB,7
sortClasses,sort,True,VERB,4
sortClasses,Classes,True,NOUN,7
in_blacklist,in,True,ADP,2
in_blacklist,blacklist,True,NOUN,9
exports,exports,True,NOUN,7
relativePathForClass,relative,True,NOUN,8
relativePathForClass,Path,True,NOUN,4
relativePathForClass,For,True,ADP,3
relativePathForClass,Class,True,NOUN,5
outputPathFor,output,True,NOUN,6
outputPathFor,Path,True,NOUN,4
outputPathFor,For,True,ADP,3
processFields,process,True,NOUN,7
processFields,Fields,True,NOUN,6
expandTypeReferences,expand,True,VERB,6
expandTypeReferences,Type,True,NOUN,4
expandTypeReferences,References,True,NOUN,10
expandFuncReferences,expand,True,VERB,6
expandFuncReferences,Func,False,NOUN,4
expandFuncReferences,References,True,NOUN,10
exports,exports,True,NOUN,7
__guard__,guard,True,VERB,5
getClassesToInclude,get,True,VERB,3
getClassesToInclude,Classes,True,NOUN,7
getClassesToInclude,To,True,PART,2
getClassesToInclude,Include,True,VERB,7
sortClasses,sort,True,VERB,4
sortClasses,Classes,True,NOUN,7
processFields,process,True,NOUN,7
processFields,Fields,True,NOUN,6
exports,exports,True,NOUN,7
task,task,True,NOUN,4
exports,exports,True,NOUN,7
writeFromTemplate,write,True,VERB,5
writeFromTemplate,From,True,ADP,4
writeFromTemplate,Template,True,NOUN,8
getInstalledSize,get,True,VERB,3
getInstalledSize,Installed,True,VERB,9
getInstalledSize,Size,True,NOUN,4
mkrpmf,mkrpmf,False,NOUN,6
mkdebf,mkdebf,False,PROPN,6
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
normalizeRequirePath,normalize,True,VERB,9
normalizeRequirePath,Require,True,VERB,7
normalizeRequirePath,Path,True,NOUN,4
nylaslint,nylaslint,False,ADV,9
exports,exports,True,NOUN,7
runCopyAPM,run,True,VERB,3
runCopyAPM,Copy,True,VERB,4
runCopyAPM,APM,False,PROPN,3
runCopyPlatformSpecificResources,run,True,VERB,3
runCopyPlatformSpecificResources,Copy,True,VERB,4
runCopyPlatformSpecificResources,Platform,True,NOUN,8
runCopyPlatformSpecificResources,Specific,True,ADJ,8
runCopyPlatformSpecificResources,Resources,True,NOUN,9
resolveRealSymlinkPaths,resolve,True,VERB,7
resolveRealSymlinkPaths,Real,True,ADJ,4
resolveRealSymlinkPaths,Symlink,False,NOUN,7
resolveRealSymlinkPaths,Paths,True,NOUN,5
runCopySymlinkedPackages,run,True,VERB,3
runCopySymlinkedPackages,Copy,True,VERB,4
runCopySymlinkedPackages,Symlinked,False,VERB,9
runCopySymlinkedPackages,Packages,True,NOUN,8
removeUnnecessaryFiles,remove,True,VERB,6
removeUnnecessaryFiles,Unnecessary,True,ADJ,11
removeUnnecessaryFiles,Files,True,NOUN,5
runTranspilers,run,True,VERB,3
runTranspilers,Transpilers,False,NOUN,11
pack,pack,True,VERB,4
exports,exports,True,NOUN,7
spawn,spawn,True,NOUN,5
spawnP,spawn,True,NOUN,5
spawnP,P,True,NOUN,1
exports,exports,True,NOUN,7
characterFromEvent,character,True,NOUN,9
characterFromEvent,From,True,ADP,4
characterFromEvent,Event,True,NOUN,5
eventModifiers,event,True,NOUN,5
eventModifiers,Modifiers,True,NOUN,9
keyAndModifiersForEvent,key,True,ADJ,3
keyAndModifiersForEvent,And,True,CCONJ,3
keyAndModifiersForEvent,Modifiers,True,NOUN,9
keyAndModifiersForEvent,For,True,ADP,3
keyAndModifiersForEvent,Event,True,NOUN,5
rebuildMessages,rebuild,True,VERB,7
rebuildMessages,Messages,True,NOUN,8
removeClassFromNodes,remove,True,VERB,6
removeClassFromNodes,Class,True,NOUN,5
removeClassFromNodes,From,True,ADP,4
removeClassFromNodes,Nodes,True,NOUN,5
removeScrollClasses,remove,True,VERB,6
removeScrollClasses,Scroll,True,PROPN,6
removeScrollClasses,Classes,True,NOUN,7
continueAndPrint,continue,True,VERB,8
continueAndPrint,And,True,CCONJ,3
continueAndPrint,Print,True,NOUN,5
safeExec,safe,True,ADJ,4
safeExec,Exec,True,NOUN,4
safeSpawn,safe,True,ADJ,4
safeSpawn,Spawn,True,PROPN,5
unimplementedMethod_,unimplemented,True,VERB,13
unimplementedMethod_,Method,True,PROPN,6
getGlobal,get,True,VERB,3
getGlobal,Global,True,ADJ,6
getGlobal,get,True,VERB,3
getGlobal,Global,True,ADJ,6
bindOriginal_,bind,True,VERB,4
bindOriginal_,Original,True,ADJ,8
MessageResult,Message,True,NOUN,7
MessageResult,Result,True,VERB,6
toString,to,True,PART,2
toString,String,True,NOUN,6
ExpectationResult,Expectation,True,NOUN,11
ExpectationResult,Result,True,VERB,6
toString,to,True,PART,2
toString,String,True,NOUN,6
passed,passed,True,VERB,6
getEnv,get,True,VERB,3
getEnv,Env,False,PROPN,3
isArray_,is,True,AUX,2
isArray_,Array,True,VERB,5
isString_,is,True,AUX,2
isString_,String,True,NOUN,6
isNumber_,is,True,AUX,2
isNumber_,Number,True,NOUN,6
isA_,is,True,AUX,2
isA_,A,True,PRON,1
pp,pp,True,ADV,2
isDomNode,is,True,AUX,2
isDomNode,Dom,True,VERB,3
isDomNode,Node,True,NOUN,4
any,any,True,PRON,3
objectContaining,object,True,NOUN,6
objectContaining,Containing,True,VERB,10
plan,plan,True,NOUN,4
Spy,Spy,True,NOUN,3
andCallThrough,and,True,CCONJ,3
andCallThrough,Call,True,VERB,4
andCallThrough,Through,True,ADP,7
plan,plan,True,NOUN,4
andReturn,and,True,CCONJ,3
andReturn,Return,True,VERB,6
plan,plan,True,NOUN,4
andThrow,and,True,CCONJ,3
andThrow,Throw,True,VERB,5
andCallFake,and,True,CCONJ,3
andCallFake,Call,True,VERB,4
andCallFake,Fake,True,VERB,4
reset,reset,True,VERB,5
spyObj,spy,True,NOUN,3
spyObj,Obj,True,PROPN,3
createSpy,create,True,VERB,6
createSpy,Spy,True,NOUN,3
isSpy,is,True,AUX,2
isSpy,Spy,True,NOUN,3
createSpyObj,create,True,VERB,6
createSpyObj,Spy,True,NOUN,3
createSpyObj,Obj,True,PROPN,3
log,log,True,VERB,3
spyOn,spy,True,NOUN,3
spyOn,On,True,ADP,2
it,it,True,PRON,2
xit,xit,False,PROPN,3
expect,expect,True,VERB,6
runs,runs,True,NOUN,4
waits,waits,True,NOUN,5
waitsFor,waits,True,NOUN,5
waitsFor,For,True,ADP,3
beforeEach,before,True,ADP,6
beforeEach,Each,True,PRON,4
afterEach,after,True,ADP,5
afterEach,Each,True,PRON,4
describe,describe,True,VERB,8
xdescribe,x,True,VERB,1
xdescribe,describe,True,VERB,8
tryIt,try,True,VERB,3
tryIt,It,True,PRON,2
subclass,subclass,True,NOUN,8
inherit,inherit,True,NOUN,7
formatException,format,True,NOUN,6
formatException,Exception,True,NOUN,9
htmlEscape,html,False,NOUN,4
htmlEscape,Escape,True,VERB,6
argsToArray,args,False,PROPN,4
argsToArray,To,True,PART,2
argsToArray,Array,True,VERB,5
extend,extend,True,VERB,6
specFilter,spec,True,NOUN,4
specFilter,Filter,True,PROPN,6
matchersClass,matchers,False,NOUN,8
matchersClass,Class,True,NOUN,5
Env,Env,False,PROPN,3
version,version,True,NOUN,7
versionString,version,True,NOUN,7
versionString,String,True,NOUN,6
nextSpecId,next,True,ADV,4
nextSpecId,Spec,True,NOUN,4
nextSpecId,Id,True,PROPN,2
nextSuiteId,next,True,ADV,4
nextSuiteId,Suite,True,PROPN,5
nextSuiteId,Id,True,PROPN,2
addReporter,add,True,VERB,3
addReporter,Reporter,True,NOUN,8
execute,execute,True,VERB,7
describe,describe,True,VERB,8
beforeEach,before,True,ADP,6
beforeEach,Each,True,PRON,4
currentRunner,current,True,ADJ,7
currentRunner,Runner,True,NOUN,6
afterEach,after,True,ADP,5
afterEach,Each,True,PRON,4
xdescribe,x,True,VERB,1
xdescribe,describe,True,VERB,8
it,it,True,PRON,2
xit,xit,False,PROPN,3
compareRegExps_,compare,True,VERB,7
compareRegExps_,Reg,True,NOUN,3
compareRegExps_,Exps,False,PROPN,4
hasKey,has,True,VERB,3
hasKey,Key,True,ADJ,3
compareObjects_,compare,True,VERB,7
compareObjects_,Objects,True,NOUN,7
equals_,equals,True,VERB,6
contains_,contains,True,VERB,8
addEqualityTester,add,True,VERB,3
addEqualityTester,Equality,True,NOUN,8
addEqualityTester,Tester,True,PROPN,6
Reporter,Reporter,True,NOUN,8
reportRunnerStarting,report,True,NOUN,6
reportRunnerStarting,Runner,True,NOUN,6
reportRunnerStarting,Starting,True,VERB,8
reportRunnerResults,report,True,NOUN,6
reportRunnerResults,Runner,True,NOUN,6
reportRunnerResults,Results,True,NOUN,7
reportSuiteResults,report,True,NOUN,6
reportSuiteResults,Suite,True,PROPN,5
reportSuiteResults,Results,True,NOUN,7
reportSpecStarting,report,True,NOUN,6
reportSpecStarting,Spec,True,NOUN,4
reportSpecStarting,Starting,True,VERB,8
reportSpecResults,report,True,NOUN,6
reportSpecResults,Spec,True,NOUN,4
reportSpecResults,Results,True,NOUN,7
log,log,True,VERB,3
Block,Block,True,VERB,5
execute,execute,True,VERB,7
JsApiReporter,Js,False,PROPN,2
JsApiReporter,Api,False,PROPN,3
JsApiReporter,Reporter,True,NOUN,8
reportRunnerStarting,report,True,NOUN,6
reportRunnerStarting,Runner,True,NOUN,6
reportRunnerStarting,Starting,True,VERB,8
suites,suites,True,NOUN,6
summarize_,summarize,True,VERB,9
results,results,True,NOUN,7
resultsForSpec,results,True,NOUN,7
resultsForSpec,For,True,ADP,3
resultsForSpec,Spec,True,NOUN,4
reportRunnerResults,report,True,NOUN,6
reportRunnerResults,Runner,True,NOUN,6
reportRunnerResults,Results,True,NOUN,7
reportSuiteResults,report,True,NOUN,6
reportSuiteResults,Suite,True,PROPN,5
reportSuiteResults,Results,True,NOUN,7
reportSpecResults,report,True,NOUN,6
reportSpecResults,Spec,True,NOUN,4
reportSpecResults,Results,True,NOUN,7
log,log,True,VERB,3
resultsForSpecs,results,True,NOUN,7
resultsForSpecs,For,True,ADP,3
resultsForSpecs,Specs,True,NOUN,5
summarizeResult_,summarize,True,VERB,9
summarizeResult_,Result,True,VERB,6
Matchers,Matchers,False,NOUN,8
pp,pp,True,ADV,2
report,report,True,NOUN,6
wrapInto_,wrap,True,VERB,4
wrapInto_,Into,True,ADP,4
matcherFn_,matcher,True,VERB,7
matcherFn_,Fn,False,PROPN,2
toBe,to,True,PART,2
toBe,Be,True,AUX,2
toNotBe,to,True,PART,2
toNotBe,Not,True,PART,3
toNotBe,Be,True,AUX,2
toEqual,to,True,PART,2
toEqual,Equal,True,ADJ,5
toNotEqual,to,True,PART,2
toNotEqual,Not,True,PART,3
toNotEqual,Equal,True,ADJ,5
toMatch,to,True,PART,2
toMatch,Match,True,VERB,5
toNotMatch,to,True,PART,2
toNotMatch,Not,True,PART,3
toNotMatch,Match,True,VERB,5
toBeDefined,to,True,PART,2
toBeDefined,Be,True,AUX,2
toBeDefined,Defined,True,VERB,7
toBeUndefined,to,True,PART,2
toBeUndefined,Be,True,AUX,2
toBeUndefined,Undefined,True,VERB,9
toBeNull,to,True,PART,2
toBeNull,Be,True,AUX,2
toBeNull,Null,True,VERB,4
message,message,True,NOUN,7
toBeNaN,to,True,PART,2
toBeNaN,Be,True,AUX,2
toBeNaN,Na,True,NOUN,2
toBeNaN,N,True,NOUN,1
toBeTruthy,to,True,PART,2
toBeTruthy,Be,True,AUX,2
toBeTruthy,Truthy,False,PROPN,6
toBeFalsy,to,True,PART,2
toBeFalsy,Be,True,AUX,2
toBeFalsy,Falsy,False,PROPN,5
message,message,True,NOUN,7
toHaveBeenCalled,to,True,PART,2
toHaveBeenCalled,Have,True,VERB,4
toHaveBeenCalled,Been,True,AUX,4
toHaveBeenCalled,Called,True,VERB,6
message,message,True,NOUN,7
wasNotCalled,was,True,AUX,3
wasNotCalled,Not,True,PART,3
wasNotCalled,Called,True,VERB,6
message,message,True,NOUN,7
toHaveBeenCalledWith,to,True,PART,2
toHaveBeenCalledWith,Have,True,VERB,4
toHaveBeenCalledWith,Been,True,AUX,4
toHaveBeenCalledWith,Called,True,VERB,6
toHaveBeenCalledWith,With,True,ADP,4
message,message,True,NOUN,7
wasNotCalledWith,was,True,AUX,3
wasNotCalledWith,Not,True,PART,3
wasNotCalledWith,Called,True,VERB,6
wasNotCalledWith,With,True,ADP,4
toContain,to,True,PART,2
toContain,Contain,True,VERB,7
toNotContain,to,True,PART,2
toNotContain,Not,True,PART,3
toNotContain,Contain,True,VERB,7
toBeLessThan,to,True,PART,2
toBeLessThan,Be,True,AUX,2
toBeLessThan,Less,True,ADV,4
toBeLessThan,Than,True,ADP,4
toBeGreaterThan,to,True,PART,2
toBeGreaterThan,Be,True,AUX,2
toBeGreaterThan,Greater,True,ADJ,7
toBeGreaterThan,Than,True,ADP,4
toBeCloseTo,to,True,PART,2
toBeCloseTo,Be,True,AUX,2
toBeCloseTo,Close,True,VERB,5
toBeCloseTo,To,True,PART,2
message,message,True,NOUN,7
toThrow,to,True,PART,2
toThrow,Throw,True,VERB,5
Any,Any,True,PRON,3
jasmineMatches,jasmine,True,NOUN,7
jasmineMatches,Matches,True,NOUN,7
jasmineToString,jasmine,True,NOUN,7
jasmineToString,To,True,PART,2
jasmineToString,String,True,NOUN,6
ObjectContaining,Object,True,VERB,6
ObjectContaining,Containing,True,VERB,10
hasKey,has,True,VERB,3
hasKey,Key,True,ADJ,3
jasmineMatches,jasmine,True,NOUN,7
jasmineMatches,Matches,True,NOUN,7
jasmineToString,jasmine,True,NOUN,7
jasmineToString,To,True,PART,2
jasmineToString,String,True,NOUN,6
setTimeout,set,True,VERB,3
setTimeout,Timeout,True,NOUN,7
setInterval,set,True,VERB,3
setInterval,Interval,True,NOUN,8
clearTimeout,clear,True,ADJ,5
clearTimeout,Timeout,True,NOUN,7
clearInterval,clear,True,ADJ,5
clearInterval,Interval,True,NOUN,8
FakeTimer,Fake,True,VERB,4
FakeTimer,Timer,True,NOUN,5
reset,reset,True,VERB,5
tick,tick,True,VERB,4
runFunctionsWithinRange,run,True,VERB,3
runFunctionsWithinRange,Functions,True,NOUN,9
runFunctionsWithinRange,Within,True,ADP,6
runFunctionsWithinRange,Range,True,NOUN,5
scheduleFunction,schedule,True,NOUN,8
scheduleFunction,Function,True,NOUN,8
setTimeout,set,True,VERB,3
setTimeout,Timeout,True,NOUN,7
