Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
newOpen,new,True,ADJ,3
newOpen,Open,True,VERB,4
Class,Class,True,NOUN,5
log,log,True,VERB,3
logStart,log,True,VERB,3
logStart,Start,True,VERB,5
logEnd,log,True,VERB,3
logEnd,End,True,NOUN,3
bind,bind,True,VERB,4
ctor,c,True,NOUN,1
ctor,tor,True,NOUN,3
extend,extend,True,VERB,6
Console,Console,True,NOUN,7
createHtmltag,create,True,VERB,6
createHtmltag,Html,False,NOUN,4
createHtmltag,tag,True,VERB,3
checkTextIsBottom,check,True,VERB,5
checkTextIsBottom,Text,True,NOUN,4
checkTextIsBottom,Is,True,AUX,2
checkTextIsBottom,Bottom,True,NOUN,6
toColor,to,True,PART,2
toColor,Color,True,NOUN,5
formatLine,format,True,NOUN,6
formatLine,Line,True,NOUN,4
addLines,add,True,VERB,3
addLines,Lines,True,NOUN,5
loadConsoleText,load,True,NOUN,4
loadConsoleText,Console,True,NOUN,7
loadConsoleText,Text,True,NOUN,4
close,close,True,VERB,5
open,open,True,VERB,4
onOpened,on,True,ADP,2
onOpened,Opened,True,VERB,6
onClosed,on,True,ADP,2
onClosed,Closed,True,VERB,6
cleanup,cleanup,True,NOUN,7
stopDragY,stop,True,VERB,4
stopDragY,Drag,True,VERB,4
stopDragY,Y,True,NOUN,1
changeFilter,change,True,VERB,6
changeFilter,Filter,True,PROPN,6
handleTabClick,handle,True,VERB,6
handleTabClick,Tab,True,VERB,3
handleTabClick,Click,True,VERB,5
Menu,Menu,True,PROPN,4
show,show,True,VERB,4
hide,hide,True,VERB,4
addItem,add,True,VERB,3
addItem,Item,True,NOUN,4
log,log,True,VERB,3
startsWith,starts,True,VERB,6
startsWith,With,True,ADP,4
endsWith,ends,True,VERB,4
endsWith,With,True,ADP,4
capitalize,capitalize,True,VERB,10
repeat,repeat,True,NOUN,6
isEmpty,is,True,AUX,2
isEmpty,Empty,True,ADJ,5
RateLimit,Rate,True,VERB,4
RateLimit,Limit,True,VERB,5
calculateScrollerHeight,calculate,True,VERB,9
calculateScrollerHeight,Scroller,False,NOUN,8
calculateScrollerHeight,Height,True,NOUN,6
moveScroller,move,True,VERB,4
moveScroller,Scroller,False,NOUN,8
startDrag,start,True,VERB,5
startDrag,Drag,True,VERB,4
stopDrag,stop,True,VERB,4
stopDrag,Drag,True,VERB,4
scrollBarScroll,scroll,True,NOUN,6
scrollBarScroll,Bar,True,VERB,3
scrollBarScroll,Scroll,True,PROPN,6
updateHeight,update,True,VERB,6
updateHeight,Height,True,NOUN,6
createScroller,create,True,VERB,6
createScroller,Scroller,False,NOUN,8
initScrollable,init,True,PROPN,4
initScrollable,Scrollable,False,ADJ,10
bind,bind,True,VERB,4
ctor,c,True,NOUN,1
ctor,tor,True,NOUN,3
extend,extend,True,VERB,6
Sidebar,Sidebar,True,NOUN,7
initFixbutton,init,True,PROPN,4
initFixbutton,Fix,True,VERB,3
initFixbutton,button,True,PROPN,6
resized,resized,True,VERB,7
startDrag,start,True,VERB,5
startDrag,Drag,True,VERB,4
waitMove,wait,True,VERB,4
waitMove,Move,True,VERB,4
moved,moved,True,VERB,5
setSiteInfo,set,True,VERB,3
setSiteInfo,Site,True,NOUN,4
setSiteInfo,Info,True,NOUN,4
createHtmltag,create,True,VERB,6
createHtmltag,Html,False,NOUN,4
createHtmltag,tag,True,VERB,3
updateHtmlTag,update,True,VERB,6
updateHtmlTag,Html,False,NOUN,4
updateHtmlTag,Tag,True,VERB,3
setHtmlTag,set,True,VERB,3
setHtmlTag,Html,False,NOUN,4
setHtmlTag,Tag,True,VERB,3
animDrag,anim,True,NOUN,4
animDrag,Drag,True,VERB,4
stopDrag,stop,True,VERB,4
stopDrag,Drag,True,VERB,4
stopDragX,stop,True,VERB,4
stopDragX,Drag,True,VERB,4
stopDragX,X,True,NOUN,1
sign,sign,True,VERB,4
publish,publish,True,VERB,7
handleSiteDeleteClick,handle,True,VERB,6
handleSiteDeleteClick,Site,True,NOUN,4
handleSiteDeleteClick,Delete,True,PROPN,6
handleSiteDeleteClick,Click,True,VERB,5
onOpened,on,True,ADP,2
onOpened,Opened,True,VERB,6
close,close,True,VERB,5
onClosed,on,True,ADP,2
onClosed,Closed,True,VERB,6
loadGlobe,load,True,NOUN,4
loadGlobe,Globe,True,NOUN,5
displayGlobe,display,True,NOUN,7
displayGlobe,Globe,True,NOUN,5
unloadGlobe,unload,True,NOUN,6
unloadGlobe,Globe,True,NOUN,5
s,s,True,NOUN,1
e,e,True,X,1
noop,noop,False,NOUN,4
morphAttrs,morph,True,VERB,5
morphAttrs,Attrs,False,PROPN,5
moveChildren,move,True,VERB,4
moveChildren,Children,True,NOUN,8
removeNodeHelper,remove,True,VERB,6
removeNodeHelper,Node,True,NOUN,4
removeNodeHelper,Helper,True,NOUN,6
walkDiscardedChildNodes,walk,True,VERB,4
walkDiscardedChildNodes,Discarded,True,VERB,9
walkDiscardedChildNodes,Child,True,NOUN,5
walkDiscardedChildNodes,Nodes,True,NOUN,5
removeNode,remove,True,VERB,6
removeNode,Node,True,NOUN,4
morphEl,morph,True,VERB,5
morphEl,El,True,NOUN,2
morphdom,mor,False,PROPN,3
morphdom,ph,False,PROPN,2
morphdom,dom,True,NOUN,3
s,s,True,NOUN,1
e,e,True,X,1
noop,noop,False,NOUN,4
morphAttrs,morph,True,VERB,5
morphAttrs,Attrs,False,PROPN,5
moveChildren,move,True,VERB,4
moveChildren,Children,True,NOUN,8
removeNodeHelper,remove,True,VERB,6
removeNodeHelper,Node,True,NOUN,4
removeNodeHelper,Helper,True,NOUN,6
walkDiscardedChildNodes,walk,True,VERB,4
walkDiscardedChildNodes,Discarded,True,VERB,9
walkDiscardedChildNodes,Child,True,NOUN,5
walkDiscardedChildNodes,Nodes,True,NOUN,5
removeNode,remove,True,VERB,6
removeNode,Node,True,NOUN,4
morphEl,morph,True,VERB,5
morphEl,El,True,NOUN,2
morphdom,mor,False,PROPN,3
morphdom,ph,False,PROPN,2
morphdom,dom,True,NOUN,3
calculateScrollerHeight,calculate,True,VERB,9
calculateScrollerHeight,Scroller,False,NOUN,8
calculateScrollerHeight,Height,True,NOUN,6
moveScroller,move,True,VERB,4
moveScroller,Scroller,False,NOUN,8
startDrag,start,True,VERB,5
startDrag,Drag,True,VERB,4
stopDrag,stop,True,VERB,4
stopDrag,Drag,True,VERB,4
scrollBarScroll,scroll,True,NOUN,6
scrollBarScroll,Bar,True,VERB,3
scrollBarScroll,Scroll,True,PROPN,6
updateHeight,update,True,VERB,6
updateHeight,Height,True,NOUN,6
createScroller,create,True,VERB,6
createScroller,Scroller,False,NOUN,8
initScrollable,init,True,PROPN,4
initScrollable,Scrollable,False,ADJ,10
to,to,True,PART,2
start,start,True,VERB,5
stop,stop,True,VERB,4
delay,delay,True,NOUN,5
easing,easing,True,VERB,6
chain,chain,True,NOUN,5
onUpdate,on,True,ADP,2
onUpdate,Update,True,VERB,6
onComplete,on,True,ADP,2
onComplete,Complete,True,VERB,8
update,update,True,VERB,6
Tween,Tween,True,NOUN,5
EaseNone,Ease,True,NOUN,4
EaseNone,None,True,NOUN,4
EaseIn,Ease,True,NOUN,4
EaseIn,In,True,ADP,2
EaseOut,Ease,True,NOUN,4
EaseOut,Out,True,ADV,3
EaseInOut,Ease,True,NOUN,4
EaseInOut,In,True,ADP,2
EaseInOut,Out,True,ADV,3
EaseIn,Ease,True,NOUN,4
EaseIn,In,True,ADP,2
EaseOut,Ease,True,NOUN,4
EaseOut,Out,True,ADV,3
EaseInOut,Ease,True,NOUN,4
EaseInOut,In,True,ADP,2
EaseInOut,Out,True,ADV,3
EaseIn,Ease,True,NOUN,4
EaseIn,In,True,ADP,2
EaseOut,Ease,True,NOUN,4
EaseOut,Out,True,ADV,3
EaseInOut,Ease,True,NOUN,4
EaseInOut,In,True,ADP,2
EaseInOut,Out,True,ADV,3
EaseIn,Ease,True,NOUN,4
EaseIn,In,True,ADP,2
EaseOut,Ease,True,NOUN,4
EaseOut,Out,True,ADV,3
EaseInOut,Ease,True,NOUN,4
EaseInOut,In,True,ADP,2
EaseInOut,Out,True,ADV,3
EaseIn,Ease,True,NOUN,4
EaseIn,In,True,ADP,2
EaseOut,Ease,True,NOUN,4
EaseOut,Out,True,ADV,3
EaseInOut,Ease,True,NOUN,4
EaseInOut,In,True,ADP,2
EaseInOut,Out,True,ADV,3
EaseIn,Ease,True,NOUN,4
EaseIn,In,True,ADP,2
EaseOut,Ease,True,NOUN,4
EaseOut,Out,True,ADV,3
EaseInOut,Ease,True,NOUN,4
EaseInOut,In,True,ADP,2
EaseInOut,Out,True,ADV,3
EaseIn,Ease,True,NOUN,4
EaseIn,In,True,ADP,2
EaseOut,Ease,True,NOUN,4
EaseOut,Out,True,ADV,3
EaseInOut,Ease,True,NOUN,4
EaseInOut,In,True,ADP,2
EaseInOut,Out,True,ADV,3
EaseIn,Ease,True,NOUN,4
EaseIn,In,True,ADP,2
EaseOut,Ease,True,NOUN,4
EaseOut,Out,True,ADV,3
EaseInOut,Ease,True,NOUN,4
EaseInOut,In,True,ADP,2
EaseInOut,Out,True,ADV,3
EaseIn,Ease,True,NOUN,4
EaseIn,In,True,ADP,2
EaseOut,Ease,True,NOUN,4
EaseOut,Out,True,ADV,3
EaseInOut,Ease,True,NOUN,4
EaseInOut,In,True,ADP,2
EaseInOut,Out,True,ADV,3
EaseIn,Ease,True,NOUN,4
EaseIn,In,True,ADP,2
EaseOut,Ease,True,NOUN,4
EaseOut,Out,True,ADV,3
EaseInOut,Ease,True,NOUN,4
EaseInOut,In,True,ADP,2
EaseInOut,Out,True,ADV,3
init,init,True,PROPN,4
addData,add,True,VERB,3
addData,Data,True,NOUN,4
createPoints,create,True,VERB,6
createPoints,Points,True,NOUN,6
addPoint,add,True,VERB,3
