Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
handleOnTrack,handle,True,VERB,6
handleOnTrack,On,True,ADP,2
handleOnTrack,Track,True,VERB,5
initializeVAD,initialize,True,NOUN,10
initializeVAD,VAD,False,PROPN,3
handsFreeMode,hands,True,NOUN,5
handsFreeMode,Free,True,ADJ,4
handsFreeMode,Mode,True,NOUN,4
textMode,text,True,NOUN,4
textMode,Mode,True,NOUN,4
toggleMute,toggle,True,NOUN,6
toggleMute,Mute,True,NOUN,4
cleanUpStates,clean,True,VERB,5
cleanUpStates,Up,True,ADV,2
cleanUpStates,States,True,NOUN,6
Conversation,Conversation,True,NOUN,12
ChatPreview,Chat,True,VERB,4
ChatPreview,Preview,True,PROPN,7
EnhancePanel,Enhance,True,VERB,7
EnhancePanel,Panel,True,NOUN,5
HandsFreeMode,Hands,True,NOUN,5
HandsFreeMode,Free,True,ADJ,4
HandsFreeMode,Mode,True,NOUN,4
handleOnEnter,handle,True,VERB,6
handleOnEnter,On,True,ADP,2
handleOnEnter,Enter,True,VERB,5
startTalk,start,True,VERB,5
startTalk,Talk,True,VERB,4
stopTalk,stop,True,VERB,4
stopTalk,Talk,True,VERB,4
InputField,Input,True,NOUN,5
InputField,Field,True,NOUN,5
LanguageModelControl,Language,True,NOUN,8
LanguageModelControl,Model,True,PROPN,5
LanguageModelControl,Control,True,VERB,7
LanguagePanel,Language,True,NOUN,8
LanguagePanel,Panel,True,NOUN,5
MicrophoneControl,Microphone,True,NOUN,10
MicrophoneControl,Control,True,VERB,7
SettingPanel,Setting,True,VERB,7
SettingPanel,Panel,True,NOUN,5
TextMode,Text,True,NOUN,4
TextMode,Mode,True,NOUN,4
RootLayout,Root,True,VERB,4
RootLayout,Layout,True,NOUN,6
Footer,Footer,True,PROPN,6
Header,Header,True,NOUN,6
handleSignIn,handle,True,VERB,6
handleSignIn,Sign,True,VERB,4
handleSignIn,In,True,ADP,2
SignIn,Sign,True,VERB,4
SignIn,In,True,ADP,2
handleMenuClick,handle,True,VERB,6
handleMenuClick,Menu,True,PROPN,4
handleMenuClick,Click,True,VERB,5
UserDropdown,User,True,NOUN,4
UserDropdown,Drop,True,VERB,4
UserDropdown,down,True,ADV,4
Slider,Slider,True,NOUN,6
TabButton,Tab,True,VERB,3
TabButton,Button,True,PROPN,6
useAuthContext,use,True,VERB,3
useAuthContext,Auth,True,PROPN,4
useAuthContext,Context,True,NOUN,7
AuthContextProvider,Auth,True,PROPN,4
AuthContextProvider,Context,True,NOUN,7
AuthContextProvider,Provider,True,NOUN,8
signIn,sign,True,VERB,4
signIn,In,True,ADP,2
signout,sign,True,VERB,4
signout,out,True,ADV,3
createSettingSlice,create,True,VERB,6
createSettingSlice,Setting,True,VERB,7
createSettingSlice,Slice,True,NOUN,5
onicecandidate,on,True,ADP,2
onicecandidate,ice,True,NOUN,3
onicecandidate,candidate,True,NOUN,9
onicecandidate,on,True,ADP,2
onicecandidate,ice,True,NOUN,3
onicecandidate,candidate,True,NOUN,9
oniceconnectionstatechange,on,True,ADP,2
oniceconnectionstatechange,ice,True,NOUN,3
oniceconnectionstatechange,connection,True,NOUN,10
oniceconnectionstatechange,state,True,NOUN,5
oniceconnectionstatechange,change,True,VERB,6
createWebRTCSlice,create,True,VERB,6
createWebRTCSlice,Web,True,NOUN,3
createWebRTCSlice,RTC,False,PROPN,3
createWebRTCSlice,Slice,True,NOUN,5
onopen,on,True,ADP,2
onopen,open,True,VERB,4
onerror,on,True,ADP,2
onerror,error,True,NOUN,5
onclose,on,True,ADP,2
onclose,close,True,VERB,5
createWebsocketSlice,create,True,VERB,6
createWebsocketSlice,Websocket,False,NOUN,9
createWebsocketSlice,Slice,True,NOUN,5
fetcher,fetcher,True,NOUN,7
useMyCharacters,use,True,VERB,3
useMyCharacters,My,True,PRON,2
useMyCharacters,Characters,True,NOUN,10
