Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
words,words,True,NOUN,5
filterQs,filter,True,VERB,6
filterQs,Qs,False,VERB,2
max,max,True,PROPN,3
isLastInStock,is,True,AUX,2
isLastInStock,Last,True,ADJ,4
isLastInStock,In,True,ADP,2
isLastInStock,Stock,True,NOUN,5
averageDollarValue,average,True,ADJ,7
averageDollarValue,Dollar,True,NOUN,6
averageDollarValue,Value,True,NOUN,5
fastestCar,fastest,True,ADJ,7
fastestCar,Car,True,NOUN,3
CDN,CDN,False,NOUN,3
query,query,True,NOUN,5
url,url,False,NOUN,3
img,img,False,VERB,3
validateName,validate,True,VERB,8
validateName,Name,True,NOUN,4
throwUnexpected,throw,True,VERB,5
throwUnexpected,Unexpected,True,ADJ,10
throwUnexpected,throw,True,VERB,5
throwUnexpected,Unexpected,True,ADJ,10
throwUnexpected,throw,True,VERB,5
throwUnexpected,Unexpected,True,ADJ,10
namedAs,named,True,VERB,5
namedAs,As,True,ADP,2
assertArrayEqual,assert,True,PROPN,6
assertArrayEqual,Array,True,VERB,5
assertArrayEqual,Equal,True,ADJ,5
assertArrayEqual,assert,True,PROPN,6
assertArrayEqual,Array,True,VERB,5
assertArrayEqual,Equal,True,ADJ,5
inspectFn,inspect,True,VERB,7
inspectFn,Fn,False,PROPN,2
inspectTerm,inspect,True,VERB,7
inspectTerm,Term,True,NOUN,4
inspectArgs,inspect,True,VERB,7
inspectArgs,Args,False,PROPN,4
inspect,inspect,True,VERB,7
spy,spy,True,NOUN,3
spy,spy,True,NOUN,3
withSpyOn,with,True,ADP,4
withSpyOn,Spy,True,NOUN,3
withSpyOn,On,True,ADP,2
typeMismatch,type,True,NOUN,4
typeMismatch,Mismatch,True,VERB,8
capitalize,capitalize,True,VERB,10
ordinal,ordinal,True,ADJ,7
getType,get,True,VERB,3
getType,Type,True,NOUN,4
$curry,curry,True,VERB,5
curry,curry,True,VERB,5
$compose,compose,True,VERB,7
compose,compose,True,VERB,7
assignCustomInspect,assign,True,VERB,6
assignCustomInspect,Custom,True,NOUN,6
assignCustomInspect,Inspect,True,VERB,7
identity,identity,True,NOUN,8
identity,identity,True,NOUN,8
either,either,True,ADV,6
left,left,True,VERB,4
left,left,True,VERB,4
maybe,maybe,True,ADV,5
reject,reject,True,VERB,6
reject,reject,True,VERB,6
chain,chain,True,NOUN,5
join,join,True,VERB,4
join,join,True,VERB,4
map,map,True,NOUN,3
sequence,sequence,True,NOUN,8
traverse,traverse,True,VERB,8
unsafePerformIO,unsafe,True,ADJ,6
unsafePerformIO,Perform,True,VERB,7
unsafePerformIO,IO,True,PROPN,2
unsafePerformIO,unsafe,True,ADJ,6
unsafePerformIO,Perform,True,VERB,7
unsafePerformIO,IO,True,PROPN,2
liftA2,lift,True,VERB,4
liftA2,A,True,PRON,1
liftA2,2,True,NUM,1
liftA3,lift,True,VERB,4
liftA3,A,True,PRON,1
liftA3,3,True,X,1
always,always,True,ADV,6
append,append,True,VERB,6
add,add,True,VERB,3
concat,concat,False,NOUN,6
eq,eq,True,PROPN,2
filter,filter,True,VERB,6
flip,flip,True,VERB,4
forEach,for,True,ADP,3
forEach,Each,True,PRON,4
intercalate,intercalate,True,NOUN,11
head,head,True,NOUN,4
head,head,True,NOUN,4
last,last,True,ADJ,4
last,last,True,ADJ,4
match,match,True,VERB,5
prop,prop,True,NOUN,4
$reduceIterator,reduce,True,VERB,6
$reduceIterator,Iterator,True,NOUN,8
reduce,reduce,True,VERB,6
safeProp,safe,True,ADJ,4
safeProp,Prop,True,PROPN,4
sortBy,sort,True,VERB,4
sortBy,By,True,ADP,2
split,split,True,VERB,5
take,take,True,VERB,4
toLowerCase,to,True,PART,2
toLowerCase,Lower,True,ADV,5
toLowerCase,Case,True,NOUN,4
toLowerCase,to,True,PART,2
toLowerCase,Lower,True,ADV,5
toLowerCase,Case,True,NOUN,4
toUpperCase,to,True,PART,2
toUpperCase,Upper,True,ADJ,5
toUpperCase,Case,True,NOUN,4
toUpperCase,to,True,PART,2
toUpperCase,Upper,True,ADJ,5
toUpperCase,Case,True,NOUN,4
keepHighest,keep,True,VERB,4
keepHighest,Highest,True,ADJ,7
